iter	RMSE
0	3929.237727
1	3469.509854
2	3073.675535
3	2827.241198
4	2632.853518
5	2534.008614
6	2456.045953
7	2370.603293
8	2292.597608
9	2207.200153
10	2160.795107
11	2114.654863
12	2079.30076
13	2042.855309
14	2013.929936
15	1997.209315
16	1970.147643
17	1945.103221
18	1929.23997
19	1915.588986
20	1904.654992
21	1885.245571
22	1871.708333
23	1844.362048
24	1834.456752
25	1818.235749
26	1803.758285
27	1789.024966
28	1776.547789
29	1766.432732
30	1751.335433
31	1737.632325
32	1724.814462
33	1709.377017
34	1700.605252
35	1684.820022
36	1674.791997
37	1664.90436
38	1658.898853
39	1650.955656
40	1642.268011
41	1631.30898
42	1624.403994
43	1609.196551
44	1601.524649
45	1592.855388
46	1580.422022
47	1574.357179
48	1563.90239
49	1560.197306
50	1556.869677
51	1551.004218
52	1541.167031
53	1537.157721
54	1529.767127
55	1522.36302
56	1515.759321
57	1506.249848
58	1501.998103
59	1492.863097
60	1486.494291
61	1480.4658
62	1478.681315
63	1472.51221
64	1471.116597
65	1463.689845
66	1459.30134
67	1445.349307
68	1437.748368
69	1429.739141
70	1422.424261
71	1415.790327
72	1407.881281
73	1402.871969
74	1397.582221
75	1394.629035
76	1389.253668
77	1379.113974
78	1374.130123
79	1371.013664
80	1368.98848
81	1366.499442
82	1360.861842
83	1356.79934
84	1355.086365
85	1346.782207
86	1341.737844
87	1337.125672
88	1332.18664
89	1325.58935
90	1321.775262
91	1318.966626
92	1311.222604
93	1309.156764
94	1304.080158
95	1298.603393
96	1295.956675
97	1292.63004
98	1288.529171
99	1285.191927
100	1281.337012
101	1277.836871
102	1273.313526
103	1270.842167
104	1265.115212
105	1257.794232
106	1252.933621
107	1248.53542
108	1247.208843
109	1242.685707
110	1241.174961
111	1238.191823
112	1235.099293
113	1230.081741
114	1226.020276
115	1224.580282
116	1222.640761
117	1220.576914
118	1216.674434
119	1215.102899
120	1212.578508
121	1209.170075
122	1207.993871
123	1201.250998
124	1198.925428
125	1194.120161
126	1192.317055
127	1185.09755
128	1182.453601
129	1179.42131
130	1175.490463
131	1172.040893
132	1170.183569
133	1165.241885
134	1161.655917
135	1159.505116
136	1156.37527
137	1152.22836
138	1150.595419
139	1150.167679
140	1146.716318
141	1146.356476
142	1144.370793
143	1141.960401
144	1138.656961
145	1135.513164
146	1131.988147
147	1129.00704
148	1126.895043
149	1125.095325
