iter	Passed	Remaining
0	160	23846
1	164	12182
2	168	8261
3	172	6307
4	176	5104
5	179	4318
6	183	3741
7	186	3303
8	188	2954
9	191	2683
10	194	2455
11	196	2261
12	198	2095
13	200	1950
14	202	1824
15	205	1718
16	207	1620
17	209	1533
18	211	1457
19	213	1389
20	215	1325
21	218	1272
22	220	1218
23	222	1169
24	224	1124
25	226	1081
26	228	1042
27	230	1005
28	233	972
29	235	940
30	237	911
31	239	882
32	241	856
33	243	830
34	245	807
35	247	784
36	250	763
37	252	742
38	253	722
39	255	703
40	258	686
41	260	669
42	263	654
43	265	639
44	267	623
45	269	610
46	271	595
47	273	581
48	275	567
49	277	555
50	279	543
51	281	530
52	284	520
53	285	508
54	288	497
55	291	488
56	293	479
57	295	469
58	298	459
59	300	450
60	301	440
61	304	431
62	306	423
63	308	414
64	311	407
65	313	399
66	315	391
67	317	383
68	320	375
69	321	367
70	324	361
71	326	353
72	329	347
73	331	340
74	333	333
75	335	326
76	337	320
77	339	313
78	341	307
79	344	301
80	345	294
81	347	288
82	349	282
83	351	276
84	353	270
85	355	264
86	358	259
87	360	254
88	363	248
89	365	243
90	366	237
91	368	232
92	371	227
93	373	222
94	376	217
95	378	212
96	380	207
97	383	203
98	385	198
99	388	194
100	391	189
101	393	185
102	395	180
103	398	176
104	400	171
105	402	166
106	404	162
107	406	158
108	408	153
109	410	149
110	412	144
111	414	140
112	417	136
113	419	132
114	421	128
115	423	124
116	425	120
117	428	116
118	430	112
119	432	108
120	434	104
121	436	100
122	438	96
123	440	92
124	443	88
125	445	84
126	446	80
127	448	77
128	452	73
129	454	69
130	456	66
131	458	62
132	460	58
133	462	55
134	464	51
135	467	48
136	469	44
137	471	41
138	473	37
139	475	33
140	478	30
141	480	27
142	482	23
143	485	20
144	487	16
145	489	13
146	491	10
147	493	6
148	495	3
149	498	0
